Country_Code,Country_Name,Year,GDP_per_Capita_USD,KM_Railway_per_1000_sq_km,Population_Density_sq_km,Land_Area_sq_km,Houshold_Transport,Household_Vehicle_Purchases,Household_Operation_Personal,Household_Transport_Services,Rail_Invest_USD
MKD,North Macedonia,2015,4861.55615984223,27.2,82.0866772402855,25220.0,8.1629351058247,20.504885942163,42.577495990093,36.917302947321,6495637.706448102
MKD,North Macedonia,2016,5149.58676436907,26.6,82.1764472640761,25220.0,8.1361112620036,21.545717654625,41.805736336769,36.648546008606,8529315.310459493
MKD,North Macedonia,2017,5450.49706853299,26.6,82.2562252180809,25220.0,8.5889967699845,26.19589977221,38.584281059212,35.220099353613,6037865.95555675
MKD,North Macedonia,2018,6108.73917044261,26.6,82.3242268041237,25220.0,8.4055202180827,27.094059365803,37.734553837589,35.171386796609,6709115.471965617
MKD,North Macedonia,2019,6070.38805358275,26.6,82.3431403647898,25220.0,8.5606091601119,28.510272878527,36.06228899004,35.427438131433,13524006.1587182
NLD,Netherlands,2005,41994.7135305232,67.7,483.408412322275,33760.0,13.091543462245,31.88511444817,53.573407202216,14.541478349614,1177000000.0
NLD,Netherlands,2006,44900.9381441374,67.4,484.185456161137,33760.0,13.365873999859,31.08721691412,53.792584751664,15.120198334215,752210000.0
NLD,Netherlands,2007,51799.2085521047,67.5,485.23981042654,33760.0,13.13401840381,30.941606237392,53.557603184123,15.500790578485,904150000.0
NLD,Netherlands,2008,57879.9437553916,69.5,487.132494075829,33760.0,13.198427688298,30.093729372937,53.945874587459,15.960396039604,877400000.0
NLD,Netherlands,2009,52722.2130568997,69.7,490.079691669137,33730.0,12.815366868805,29.190180586907,55.05079006772,15.759029345372,832460000.0
NLD,Netherlands,2010,50999.7451168879,72.6,492.599881411207,33730.0,12.996551125226,30.136911580211,54.295532646048,15.567555773741,1173790000.0
NLD,Netherlands,2011,54230.3129029852,72.6,495.049644128114,33720.0,13.155905402594,29.025541000026,55.407364453465,15.567094546509,1215520000.0
NOR,Norway,2005,67047.1704558264,12.7,12.6580888392417,365244.0,15.080106041882,39.130174170677,42.431196588515,18.438629240808,206711677.4201568
NOR,Norway,2006,74434.4996835671,12.7,12.760447810231,365244.0,15.500770640067,38.866219533168,42.730172130763,18.403608336069,276333221.4806847
NOR,Norway,2007,85502.2677087731,12.7,12.89317004523,365244.0,16.440916835847,41.52437259685,38.752222268161,19.72340513499,331743636.43165815
NOR,Norway,2008,97503.5407803783,12.7,13.0548674310872,365244.0,15.871572724934,38.201657891331,41.80215648478,19.996185623889,307673134.9090517
NOR,Norway,2009,80347.5700665184,12.1,13.2205484552792,365244.0,15.047661295859,36.395987899122,42.588914079554,21.015098021324,383683896.9846977
NOR,Norway,2010,88163.2085931423,12.2,13.3862623342204,365244.0,15.74237486654,38.723024655038,41.976831729522,19.30014361544,512814139.39545095
NOR,Norway,2011,101221.813476644,12.1,13.5610386481366,365244.0,16.307947661177,37.931177815386,42.619874706808,19.448947477806,600401627.0386052
NOR,Norway,2012,102175.919298374,12.0,13.7403297521657,365244.0,16.274914778983,37.89861277616,42.735057372838,19.366329851002,723114172.9650143
NOR,Norway,2013,103553.840134417,12.0,13.9120886837683,365122.96,15.833641299205,35.991701291599,43.409799466673,20.598499241728,897390167.9670975
NOR,Norway,2014,97666.6951838749,12.1,14.0704449094514,365108.0,15.626713445984,35.712161105174,42.87893977284,21.408899121986,1303578652.559528
NOR,Norway,2015,74809.9658049898,12.0,14.2079384825517,365190.7,15.558922705795,36.61408575872,40.612139101364,22.773775139916,1371110638.916505
NOR,Norway,2016,70867.3609970749,12.0,14.3354243797401,365145.73,15.359340457688,36.943524320333,39.577073355827,23.47940232384,1562851485.574717
NOR,Norway,2017,76131.8384032764,12.0,14.452576255125,365123.0,15.673130122621,38.894710663183,37.652660604509,23.452628732307,1336496366.014161
NOR,Norway,2018,82792.8427113304,12.0,14.5488896436123,365108.0,15.536432275084,37.082767342733,38.855684106984,24.061548550283,1408856738.1205719
NOR,Norway,2019,76430.5889473338,12.0,14.6479975020132,365094.0,15.554202449669,37.773292361165,37.215732950766,25.01097468807,1644591205.823553
NOR,Norway,2020,68340.0181033702,12.0,14.7672152298338,364285.0,13.545498092485,44.654415711534,41.160157031143,14.185427257323,1580237393.7042592
POL,Poland,2005,8021.54789037388,64.8,124.589315444129,306330.0,10.216957934777,28.622288772216,49.295222931948,22.082488295836,252697260.4782987
POL,Poland,2006,9035.53275810927,64.5,124.514452206843,306320.0,10.01412869849,27.26577775612,50.649322962033,22.084899281846,377992862.8276602
POL,Poland,2007,11254.3140875349,64.3,124.44685296422,306320.0,10.84204698451,31.515245298104,49.586001018717,18.89862473162,692101715.5243104
POL,Poland,2008,13995.7811598115,64.6,124.471952334313,306300.0,11.712579793534,36.83014758549,45.713798017141,17.456162431547,966777616.5685225
POL,Poland,2009,11525.9007370991,65.1,124.564460624265,306280.0,10.88315693358,32.443459388157,49.69033175532,17.866099297618,695408563.9059551
POL,Poland,2010,12504.2501856093,64.7,124.209200731357,306280.0,14.617237374301,30.932077888446,56.658385940754,12.409458635913,738420525.65707
POL,Poland,2011,13776.3883624327,64.7,124.296296901022,306230.0,14.581737146775,25.749008532194,61.540598454453,12.710393013353,990062398.329567
POL,Poland,2012,13010.7555868425,64.3,124.300058781268,306220.0,14.898980353065,24.766719406197,62.581507062698,12.651841552855,461059197.47627574
POL,Poland,2013,13558.3411314221,61.8,124.229110740995,306210.0,14.550194927494,26.803442072348,60.646786568897,12.549771358755,281196540.4684169
POL,Poland,2014,14181.9486817352,61.5,124.144273163722,306190.0,14.551539584476,29.442897555211,57.96693616898,12.590233645773,56766638.78599592
POL,Poland,2015,12560.051419682,61.5,124.061569613639,306190.0,14.204941930841,32.505071095591,54.128690537854,13.366171531688,364272735.9663331
POL,Poland,2016,12378.8117641782,61.2,124.008253045495,306190.0,13.659288204859,35.783643681803,51.39415257942,12.822203738776,349424786.87321883
POL,Poland,2017,13815.4999463758,61.4,124.0237303635,306190.0,14.721198991331,36.188525682707,51.718574513288,12.092899804005,546023541.5736643
POL,Poland,2018,15504.5089370714,61.4,124.031583760656,306170.0,14.585971866857,35.630480056243,52.858859396625,11.510660547132,494240247.8524195
POL,Poland,2019,15700.0135796738,61.9,124.025595374212,306110.0,14.525736507012,33.490678716687,53.529035919583,12.980285363729,700635253.0541005
POL,Poland,2020,15816.8204021382,62.0,123.800574919152,306130.0,13.084782131025,34.085818620185,54.404387207535,11.50979417228,669472452.2866352
POL,Poland,2021,18050.2794441161,61.7,123.316314929762,306100.0,13.624332303076,35.532420920411,53.861382750444,10.606246653435,731698071.866779
PRT,Portugal,2007,22811.0564844365,30.9,115.261440909588,91470.0,14.922086936748,36.149861022908,52.727477329306,11.122661647787,352030000.0
PRT,Portugal,2008,24949.0413566739,30.9,115.427757734776,91470.0,14.497476795519,34.594599132168,53.269518562105,12.135882305726,419440000.0
PRT,Portugal,2009,23151.2154130712,30.9,115.386472322306,91590.0,12.810330107118,31.12348377234,55.667766366342,13.208749861318,385200000.0
PRT,Portugal,2010,22520.6423124045,30.9,115.439458456163,91590.0,13.824111193742,35.235283801459,52.267719528981,12.49699666956,431210000.0
PRT,Portugal,2011,23217.2954965207,30.4,115.269789278305,91590.0,13.140481957922,29.279170938191,58.386463680804,12.334365381005,356310000.0
PRT,Portugal,2012,20563.7136012629,27.6,114.803406485424,91590.0,12.005918394185,21.930692823616,63.880776230566,14.188530945818,92020000.0
PRT,Portugal,2013,21653.1959752225,27.7,114.156128691384,91605.2,11.663962001531,23.575468377563,60.84267648436,15.581855138077,75970000.0
PRT,Portugal,2014,22103.7009703321,27.7,113.541770372117,91605.6,12.286200684161,28.620545882407,56.374301316916,15.005152800677,128400000.00000001
PRT,Portugal,2015,19250.1065376852,27.7,113.072519583956,91605.6,12.357274081112,33.745571094029,51.669588399508,14.584840506463,189390000.0
PRT,Portugal,2016,19991.9724878805,27.7,112.716384151187,91605.6,12.77592401306,36.045021515703,50.862906652199,13.092071832098,84530000.0
PRT,Portugal,2017,21490.429863104,27.7,112.441815784188,91605.6,13.258320584429,36.580855218949,50.612025517941,12.80711926311,117700000.0
PRT,Portugal,2018,23562.5545228191,27.7,112.261935951514,91605.6,13.442448356206,36.415752078978,50.76588056003,12.818367360992,141240000.0
PRT,Portugal,2019,23330.817288932,27.5,112.288582794065,91605.6,13.591988440423,34.600607557336,51.708500949907,13.690891492757,231120000.0
PRT,Portugal,2020,22242.406417972,27.5,112.406676011074,91605.6,11.347992024724,36.790241036579,55.587999725208,7.6217592382134,235400000.0
PRT,Portugal,2021,24661.1664874576,27.5,113.113510527741,91605.6,11.931476795837,33.279299375599,56.08927417647,10.631426447931,328490000.0
ROU,Romania,2005,4618.00350802913,45.9,92.7023436820593,229980.0,17.469527261363,18.321767567999,58.28091705694,23.397315375061,116676788.86925331
ROU,Romania,2006,5757.53127301178,45.3,92.1547960692234,229980.0,18.006677134678,22.242628547863,54.351662263056,23.40570918908,108991601.40733361
ROU,Romania,2007,8360.33775916596,45.2,90.8390186610988,229890.0,15.87435025097,21.406240545392,51.090851637454,27.502907817154,332421582.43207186
ROU,Romania,2008,10435.2179803541,45.2,89.3339495432797,229900.0,15.05850526906,21.469057759374,51.433750305053,27.097191935573,338368621.0640648
ROU,Romania,2009,8548.04859012993,45.2,88.5311962096844,230060.0,13.198477881235,22.308863872204,56.782585182429,20.908550945367,189791489.76318184
ROU,Romania,2010,8397.80917311457,45.2,88.0107411432297,230050.0,11.305120153383,27.689358917088,48.842705617137,23.467935465775,180679713.10501722
ROU,Romania,2011,9560.15942530942,45.2,87.5332493374462,230170.0,10.658100024538,24.124723005577,50.709334172672,25.165942821751,172670221.2994855
ROU,Romania,2012,8930.72991164974,45.2,87.201265107382,230020.0,11.4946503527,25.671441858809,48.758361036568,25.570197104623,126006594.73767212
ROU,Romania,2013,9497.20647561211,45.2,86.8742903099596,230030.0,12.375923755798,23.082786400264,49.08921694345,27.827996656286,223476568.6873502
ROU,Romania,2014,10031.3421526698,45.2,86.5306806328234,230080.0,11.666571010059,22.957488904337,51.937115662264,25.105395433399,297095155.59255964
ROU,Romania,2015,8976.9544892648,45.2,86.1248956884562,230080.0,12.405405868267,21.849818546976,48.461478818503,29.68870263452,344454692.702245
ROU,Romania,2016,9404.38125929526,45.2,85.6322453059805,230080.0,11.684155469273,20.496055384096,50.571758238666,28.932186377238,280437783.9137817
ROU,Romania,2017,10727.9708633184,45.2,85.1387126216968,230080.0,12.883411444683,25.6499678219,47.081625113219,27.268407064881,229518243.7017044
ROU,Romania,2018,12494.4235789649,45.2,84.6399947844228,230080.0,12.897002992874,24.28981974267,51.089897498673,24.620282758657,195653201.5470539
